,report_date as date,report_date,DSO Provider Flag,Adds,Savings,Discount of Adds,Actionable/Inactionable,Terms
171,2022-04-30,04-30-2022,DSO,,,,Inactionable,134.8856468350079
172,2022-05-31,05-31-2022,DSO,,,,Inactionable,115.80992746428615
173,2022-06-30,06-30-2022,DSO,,,,Inactionable,103.4836702379185
174,2022-07-31,07-31-2022,DSO,,,,Inactionable,82.64034036761352
175,2022-08-31,08-31-2022,DSO,,,,Inactionable,94.69485320307113
176,2022-09-30,09-30-2022,DSO,,,,Inactionable,114.57403782263927
177,2022-10-31,10-31-2022,DSO,,,,Inactionable,136.43576164920742
178,2022-11-30,11-30-2022,DSO,,,,Inactionable,132.16087404289445
179,2022-12-31,12-31-2022,DSO,,,,Inactionable,119.57030532718305
180,2022-01-31,01-31-2022,DSO,,,,Actionable,0.9527392201815347
181,2022-02-28,02-28-2022,DSO,,,,Actionable,0.8377585978236887
182,2022-03-31,03-31-2022,DSO,,,,Actionable,0.7633119101468595
183,2022-04-30,04-30-2022,DSO,,,,Actionable,0.8407000148996336
184,2022-05-31,05-31-2022,DSO,,,,Actionable,0.7218070271319774
185,2022-06-30,06-30-2022,DSO,,,,Actionable,0.644981324197553
186,2022-07-31,07-31-2022,DSO,,,,Actionable,0.5150713734823557
187,2022-08-31,08-31-2022,DSO,,,,Actionable,0.5902033786895016
188,2022-09-30,09-30-2022,DSO,,,,Actionable,0.7141041138530149
189,2022-10-31,10-31-2022,DSO,,,,Actionable,0.8503613953205449
190,2022-11-30,11-30-2022,DSO,,,,Actionable,0.8237173589931095
191,2022-12-31,12-31-2022,DSO,,,,Actionable,0.7452442852802268
192,2022-01-31,01-31-2022,Non DSO,293.5327744326357,22041.096472516478,0.4230288028127956,,
193,2022-02-28,02-28-2022,Non DSO,373.6610295494307,28057.85083535512,0.4230288028127956,,
194,2022-03-31,03-31-2022,Non DSO,351.88114826488703,26422.420292784638,0.4230288028127956,,
195,2022-04-30,04-30-2022,Non DSO,328.6570764728234,24678.546860446684,0.4230288028127956,,
196,2022-05-31,05-31-2022,Non DSO,276.98826547301786,20798.785051673636,0.4230288028127956,,
197,2022-06-30,06-30-2022,Non DSO,285.62187124928926,21447.074286796662,0.4230288028127956,,
198,2022-07-31,07-31-2022,Non DSO,371.0313936932937,27860.39398337416,0.4230288028127956,,
199,2022-08-31,08-31-2022,Non DSO,378.486607005029,28420.198850632205,0.4230288028127956,,
200,2022-09-30,09-30-2022,Non DSO,413.4701718396405,31047.081415833338,0.4230288028127956,,
201,2022-10-31,10-31-2022,Non DSO,389.4837548652282,29245.964209807815,0.4230288028127956,,
202,2022-11-30,11-30-2022,Non DSO,375.7624317595028,28215.643125941016,0.4230288028127956,,
203,2022-12-31,12-31-2022,Non DSO,362.42347539522177,27214.033596524463,0.4230288028127956,,
204,2022-01-31,01-31-2022,DSO,145.54362512334686,9707.59446222016,0.4175259801812045,,
205,2022-02-28,02-28-2022,DSO,185.2739644254854,12357.56296111321,0.4175259801812045,,
206,2022-03-31,03-31-2022,DSO,174.47475168668404,11637.267739040244,0.4175259801812045,,
207,2022-04-30,04-30-2022,DSO,162.95945972218308,10869.210846059184,0.4175259801812045,,
208,2022-05-31,05-31-2022,DSO,137.34028968824,9160.441307459256,0.4175259801812045,,
209,2022-06-30,06-30-2022,DSO,141.62112778202084,9445.968345401516,0.4175259801812045,,
210,2022-07-31,07-31-2022,DSO,183.97010070533938,12270.596732132364,0.4175259801812045,,
211,2022-08-31,08-31-2022,DSO,187.66665136669255,12517.15246206596,0.4175259801812045,,
212,2022-09-30,09-30-2022,DSO,205.0127036281769,13674.114443274408,0.4175259801812045,,
213,2022-10-31,10-31-2022,DSO,193.11941475464658,12880.845585855057,0.4175259801812045,,
214,2022-11-30,11-30-2022,DSO,186.31591177220767,12427.0596655164,0.4175259801812045,,
215,2022-12-31,12-31-2022,DSO,179.70199934497666,11985.919219840516,0.4175259801812045,,
