,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
150,CA,Oakland CA,2021-07-31,0.0,0.0
151,CA,Oakland CA,2021-08-31,0.0,0.0
152,CA,Oakland CA,2021-09-30,0.0,0.0
153,CA,Oakland CA,2021-10-31,0.0,0.0
154,CA,Oakland CA,2021-11-30,0.0,0.0
155,CA,Oakland CA,2021-12-31,0.0,0.0
156,CA,Other CA,2021-01-31,0.0,0.0
157,CA,Other CA,2021-02-28,0.0,0.0
158,CA,Other CA,2021-03-31,0.0,0.0
159,CA,Other CA,2021-04-30,0.0,0.0
160,CA,Other CA,2021-05-31,0.0,0.0
161,CA,Other CA,2021-06-30,0.0,0.0
162,CA,Other CA,2021-07-31,0.0,0.0
163,CA,Other CA,2021-08-31,0.0,0.0
164,CA,Other CA,2021-09-30,0.0,0.0
165,CA,Other CA,2021-10-31,0.0,0.0
166,CA,Other CA,2021-11-30,0.0,0.0
167,CA,Other CA,2021-12-31,0.0,0.0
168,CA,Sacramento CA,2021-01-31,0.0,0.0
169,CA,Sacramento CA,2021-02-28,0.0,0.0
170,CA,Sacramento CA,2021-03-31,0.0,0.0
171,CA,Sacramento CA,2021-04-30,0.0,0.0
172,CA,Sacramento CA,2021-05-31,0.0,0.0
173,CA,Sacramento CA,2021-06-30,0.0,0.0
174,CA,Sacramento CA,2021-07-31,0.0,0.0
175,CA,Sacramento CA,2021-08-31,0.0,0.0
176,CA,Sacramento CA,2021-09-30,0.0,0.0
177,CA,Sacramento CA,2021-10-31,0.0,0.0
178,CA,Sacramento CA,2021-11-30,0.0,0.0
179,CA,Sacramento CA,2021-12-31,0.0,0.0
180,CA,San Bernardino-Riverside CA,2021-01-31,0.0,0.0
181,CA,San Bernardino-Riverside CA,2021-02-28,0.0,0.0
182,CA,San Bernardino-Riverside CA,2021-03-31,0.0,0.0
183,CA,San Bernardino-Riverside CA,2021-04-30,0.0,0.0
184,CA,San Bernardino-Riverside CA,2021-05-31,0.0,0.0
185,CA,San Bernardino-Riverside CA,2021-06-30,0.0,0.0
186,CA,San Bernardino-Riverside CA,2021-07-31,0.0,0.0
187,CA,San Bernardino-Riverside CA,2021-08-31,0.0,0.0
188,CA,San Bernardino-Riverside CA,2021-09-30,0.0,0.0
189,CA,San Bernardino-Riverside CA,2021-10-31,0.0,0.0
190,CA,San Bernardino-Riverside CA,2021-11-30,0.0,0.0
191,CA,San Bernardino-Riverside CA,2021-12-31,0.0,0.0
192,CA,San Diego CA,2021-01-31,0.0,0.0
193,CA,San Diego CA,2021-02-28,0.0,0.0
194,CA,San Diego CA,2021-03-31,0.0,0.0
195,CA,San Diego CA,2021-04-30,0.0,0.0
196,CA,San Diego CA,2021-05-31,0.0,0.0
197,CA,San Diego CA,2021-06-30,0.0,0.0
198,CA,San Diego CA,2021-07-31,0.0,0.0
199,CA,San Diego CA,2021-08-31,0.0,0.0
200,CA,San Diego CA,2021-09-30,0.0,0.0
201,CA,San Diego CA,2021-10-31,0.0,0.0
202,CA,San Diego CA,2021-11-30,0.0,0.0
203,CA,San Diego CA,2021-12-31,0.0,0.0
204,CA,San Francisco CA,2021-01-31,0.0,0.0
205,CA,San Francisco CA,2021-02-28,0.0,0.0
206,CA,San Francisco CA,2021-03-31,0.0,0.0
207,CA,San Francisco CA,2021-04-30,0.0,0.0
208,CA,San Francisco CA,2021-05-31,0.0,0.0
209,CA,San Francisco CA,2021-06-30,0.0,0.0
210,CA,San Francisco CA,2021-07-31,0.0,0.0
211,CA,San Francisco CA,2021-08-31,0.0,0.0
212,CA,San Francisco CA,2021-09-30,0.0,0.0
213,CA,San Francisco CA,2021-10-31,0.0,0.0
214,CA,San Francisco CA,2021-11-30,0.0,0.0
215,CA,San Francisco CA,2021-12-31,0.0,0.0
216,CA,San Jose CA,2021-01-31,0.0,0.0
217,CA,San Jose CA,2021-02-28,0.0,0.0
218,CA,San Jose CA,2021-03-31,0.0,0.0
219,CA,San Jose CA,2021-04-30,0.0,0.0
220,CA,San Jose CA,2021-05-31,0.0,0.0
221,CA,San Jose CA,2021-06-30,0.0,0.0
222,CA,San Jose CA,2021-07-31,0.0,0.0
223,CA,San Jose CA,2021-08-31,0.0,0.0
224,CA,San Jose CA,2021-09-30,0.0,0.0
225,CA,San Jose CA,2021-10-31,0.0,0.0
226,CA,San Jose CA,2021-11-30,0.0,0.0
227,CA,San Jose CA,2021-12-31,0.0,0.0
228,CA,Santa Ana-Anaheim CA,2021-01-31,0.0,0.0
229,CA,Santa Ana-Anaheim CA,2021-02-28,0.0,0.0
230,CA,Santa Ana-Anaheim CA,2021-03-31,0.0,0.0
231,CA,Santa Ana-Anaheim CA,2021-04-30,0.0,0.0
232,CA,Santa Ana-Anaheim CA,2021-05-31,0.0,0.0
233,CA,Santa Ana-Anaheim CA,2021-06-30,0.0,0.0
234,CA,Santa Ana-Anaheim CA,2021-07-31,0.0,0.0
235,CA,Santa Ana-Anaheim CA,2021-08-31,0.0,0.0
236,CA,Santa Ana-Anaheim CA,2021-09-30,0.0,0.0
237,CA,Santa Ana-Anaheim CA,2021-10-31,0.0,0.0
238,CA,Santa Ana-Anaheim CA,2021-11-30,0.0,0.0
